region,rank,division,summonerName,win,lose,winRatio
eun1,DIAMOND,IV,Salladyn,253,240,0.513184584178499
eun1,DIAMOND,IV,SenseiPeanut,389,388,0.5006435006435006
eun1,DIAMOND,IV,Respirra v2,108,105,0.5070422535211268
eun1,DIAMOND,IV,Galm 2 Solo Wing,201,205,0.49507389162561577
eun1,DIAMOND,IV,Lamayer,113,82,0.5794871794871795
eun1,DIAMOND,IV,Pepeszka,153,137,0.5275862068965518
eun1,DIAMOND,IV,Chunkyz zz6,124,113,0.5232067510548524
eun1,DIAMOND,IV,Zella,45,34,0.569620253164557
eun1,DIAMOND,IV,Génkezelt Banán,129,112,0.5352697095435685
eun1,DIAMOND,IV,M1k4d0,308,308,0.5
eun1,DIAMOND,IV,Nãji,66,84,0.44
eun1,DIAMOND,IV,Mad Ven0m,525,485,0.5198019801980198
eun1,DIAMOND,IV,sprile10,86,101,0.45989304812834225
eun1,DIAMOND,IV,Fierra Skyfire,380,362,0.5121293800539084
eun1,DIAMOND,IV,Lick It Up,100,95,0.5128205128205128
eun1,DIAMOND,IV,ovono,448,448,0.5
eun1,DIAMOND,IV,ALE ŁATWIUTKO,55,48,0.5339805825242718
eun1,DIAMOND,IV,Am Peaky Blinder,224,233,0.49015317286652077
eun1,DIAMOND,IV,Anivia carry me,433,468,0.48057713651498335
eun1,DIAMOND,IV,BrokenCore,44,33,0.5714285714285714
eun1,DIAMOND,IV,Chrjs,183,166,0.5243553008595988
eun1,DIAMOND,IV,BrassJ,104,88,0.5416666666666666
eun1,DIAMOND,IV,Miś Lumiś,32,32,0.5
eun1,DIAMOND,IV,Lysho,786,796,0.4968394437420986
eun1,DIAMOND,IV,AODDAODD,49,32,0.6049382716049383
eun1,DIAMOND,IV,Peachslap,36,42,0.46153846153846156
eun1,DIAMOND,IV,Master Squire,549,518,0.514526710402999
eun1,DIAMOND,IV,Aκi,136,127,0.5171102661596958
eun1,DIAMOND,IV,KLAPEK,128,157,0.44912280701754387
eun1,DIAMOND,IV,Marsuc,62,62,0.5
eun1,DIAMOND,IV,El Greco,494,488,0.5030549898167006
eun1,DIAMOND,IV,Titànium,157,131,0.5451388888888888
eun1,DIAMOND,IV,Vathivis,67,64,0.5114503816793893
eun1,DIAMOND,IV,Legenda z Brna,73,96,0.4319526627218935
eun1,DIAMOND,IV,evilgenius,353,341,0.5086455331412104
eun1,DIAMOND,IV,Jackass,296,287,0.5077186963979416
eun1,DIAMOND,IV,ZokaKami,485,452,0.5176093916755603
eun1,DIAMOND,IV,Nixxiu,391,392,0.49936143039591313
eun1,DIAMOND,IV,Mordred,130,124,0.5118110236220472
eun1,DIAMOND,IV,vR4h,145,129,0.5291970802919708
eun1,DIAMOND,IV,Chrapuančelo,124,114,0.5210084033613446
eun1,DIAMOND,IV,Chamsin,72,61,0.5413533834586466
eun1,DIAMOND,IV,Baba Lemonade,134,113,0.5425101214574899
eun1,DIAMOND,IV,Hashiya,439,390,0.5295536791314838
eun1,DIAMOND,IV,ToxicOutrox,460,462,0.49891540130151846
eun1,DIAMOND,IV,Huher,88,95,0.4808743169398907
eun1,DIAMOND,IV,effist,139,119,0.5387596899224806
eun1,DIAMOND,IV,GN Kamida,108,81,0.5714285714285714
eun1,DIAMOND,IV,SoSika,208,205,0.5036319612590799
eun1,DIAMOND,IV,Oriathim,395,414,0.48825710754017304
eun1,DIAMOND,IV,Kässadin,122,104,0.5398230088495575
eun1,DIAMOND,IV,TYLER onE,55,46,0.5445544554455446
eun1,DIAMOND,IV,Oikes,148,115,0.5627376425855514
eun1,DIAMOND,IV,olegs burovs,296,274,0.519298245614035
eun1,DIAMOND,IV,Weakness,97,88,0.5243243243243243
eun1,DIAMOND,IV,Vigorous,75,54,0.5813953488372093
eun1,DIAMOND,IV,TSM FTX FANBOY,400,355,0.5298013245033113
eun1,DIAMOND,IV,zMihai,309,297,0.5099009900990099
eun1,DIAMOND,IV,TroubleMak3r,53,49,0.5196078431372549
eun1,DIAMOND,IV,Cichutek,29,34,0.4603174603174603
eun1,DIAMOND,IV,iBella,42,20,0.6774193548387096
eun1,DIAMOND,IV,Jespér,422,387,0.5216316440049443
eun1,DIAMOND,IV,tsitsaki,302,299,0.502495840266223
eun1,DIAMOND,IV,DécϋbitϋS,38,35,0.5205479452054794
eun1,DIAMOND,IV,Lirenne,177,175,0.5028409090909091
eun1,DIAMOND,IV,Crab Stan,97,100,0.49238578680203043
