region,rank,division,summonerName,win,lose,winRatio
ru,GRANDMASTER,-,ESHKEREEEEEEEEEE,220,198,0.5263
ru,GRANDMASTER,-,Аirobloodin,258,238,0.5202
ru,GRANDMASTER,-,СВЕКЛОВИЧНЫЙ ЖОМ,214,190,0.5297
ru,GRANDMASTER,-,KrasEg,164,126,0.5655
ru,GRANDMASTER,-,15 12 17,514,494,0.5099
ru,GRANDMASTER,-,Kenny Toss,127,96,0.5695
ru,GRANDMASTER,-,red oceán,86,56,0.6056
ru,GRANDMASTER,-,Metalonot,210,190,0.525
ru,GRANDMASTER,-,R1fo,145,117,0.5534
ru,GRANDMASTER,-,sapph1re,152,134,0.5315
ru,GRANDMASTER,-,Sênbônzâkurâ,356,352,0.5028
ru,GRANDMASTER,-,Treyz,163,109,0.5993
ru,GRANDMASTER,-,43152,102,101,0.5025
ru,GRANDMASTER,-,BigMuffin3,241,200,0.5465
ru,GRANDMASTER,-,Exeria,259,220,0.5407
ru,GRANDMASTER,-,Не хочу в армию,135,92,0.5947
ru,GRANDMASTER,-,Cornucopia,80,61,0.5674
ru,GRANDMASTER,-,TTV HTMimp,138,126,0.5227
ru,GRANDMASTER,-,Реасе Dose ,62,64,0.4921
ru,GRANDMASTER,-,TripleASS Ghoul,747,701,0.5159
ru,GRANDMASTER,-,Awilo,101,74,0.5771
ru,GRANDMASTER,-,Astrolog Fedor,492,454,0.5201
ru,GRANDMASTER,-,burden boy,169,140,0.5469
ru,GRANDMASTER,-,Skaði,230,231,0.4989
ru,GRANDMASTER,-,elo monster,92,60,0.6053
ru,GRANDMASTER,-,Draven i balanse,152,104,0.5938
ru,GRANDMASTER,-,dаewoo matiz,239,225,0.5151
ru,GRANDMASTER,-,Skizzplz,114,95,0.5455
ru,GRANDMASTER,-,Kill,37,33,0.5286
ru,GRANDMASTER,-,1711,177,170,0.5101
ru,GRANDMASTER,-,BlinovskyReborn,1093,1058,0.5081
ru,GRANDMASTER,-,suzy43,60,45,0.5714
ru,GRANDMASTER,-,Khtari Minnesota,346,301,0.5348
ru,GRANDMASTER,-,SnJake,234,223,0.512
ru,GRANDMASTER,-,OTP kata ,290,250,0.537
ru,GRANDMASTER,-,Fisik,358,329,0.5211
ru,GRANDMASTER,-,Fairon,257,190,0.5749
ru,GRANDMASTER,-,fight at crab,62,40,0.6078
ru,GRANDMASTER,-,Smerelk,436,402,0.5203
ru,GRANDMASTER,-,Black Agate,129,106,0.5489
ru,GRANDMASTER,-,yurameister,167,134,0.5548
