region,rank,division,summonerName,win,lose,winRatio
euw1,CHALLENGER,-,Guuuubs,420,367,0.5337
euw1,CHALLENGER,-,KwK AlVaRo710,804,755,0.5157
euw1,CHALLENGER,-,erk1,279,213,0.5671
euw1,CHALLENGER,-,euw tourist,126,84,0.6
euw1,CHALLENGER,-,FB Neramin1,385,330,0.5385
euw1,CHALLENGER,-,lucky iceland ,96,50,0.6575
euw1,CHALLENGER,-,srysry,503,469,0.5175
euw1,CHALLENGER,-,Kldfar,209,145,0.5904
euw1,CHALLENGER,-,Ekko the Neeko,1111,1068,0.5099
euw1,CHALLENGER,-,Walid Georgey,397,330,0.5461
euw1,CHALLENGER,-,YouMakeMeSmile,386,314,0.5514
euw1,CHALLENGER,-,Albetrayber,293,237,0.5528
euw1,CHALLENGER,-,Aegis fangirlQAQ,138,82,0.6273
euw1,CHALLENGER,-,UOL Doedalo,552,507,0.5212
euw1,CHALLENGER,-,Mid bad COPIUM,148,116,0.5606
euw1,CHALLENGER,-,Envy Carry,806,748,0.5187
euw1,CHALLENGER,-,Hantera1,924,875,0.5136
euw1,CHALLENGER,-,Stefanzzzzzzzzxz,280,240,0.5385
euw1,CHALLENGER,-,Kiooo,298,224,0.5709
euw1,CHALLENGER,-,for her sake,218,165,0.5692
euw1,CHALLENGER,-,azerty1,355,303,0.5395
euw1,CHALLENGER,-,Shending LP,221,160,0.5801
euw1,GRANDMASTER,-,vnodwdje,220,143,0.6061
euw1,GRANDMASTER,-,FPXzhaoAP4506303,299,262,0.533
euw1,GRANDMASTER,-,Cedeiix,407,373,0.5218
euw1,GRANDMASTER,-,ΨΞΞΞΞΞΞΨ,130,85,0.6047
euw1,GRANDMASTER,-,chovy jg acc,182,120,0.6026
euw1,GRANDMASTER,-,Shadowraze,248,217,0.5333
euw1,GRANDMASTER,-,White Steel Eel,516,442,0.5386
euw1,GRANDMASTER,-,Adison997,424,398,0.5158
euw1,GRANDMASTER,-,babi fanboy,442,411,0.5182
euw1,GRANDMASTER,-,CRIPPLED JGLXD,168,135,0.5545
euw1,GRANDMASTER,-,its all a joke,248,215,0.5356
euw1,GRANDMASTER,-,Szymbolimbo,216,143,0.6017
euw1,GRANDMASTER,-,vvaena,507,458,0.5254
euw1,GRANDMASTER,-,Damgos,504,457,0.5245
euw1,GRANDMASTER,-,SRB Jungler 47,104,92,0.5306
euw1,GRANDMASTER,-,VER Forsaken,233,205,0.532
euw1,GRANDMASTER,-,ToIerant,315,286,0.5241
euw1,GRANDMASTER,-,SekstiNi,507,473,0.5173
euw1,GRANDMASTER,-,twtv NyroLoL,488,444,0.5236
euw1,GRANDMASTER,-,a red rain,155,130,0.5439
euw1,GRANDMASTER,-,shine on me,779,729,0.5166
euw1,GRANDMASTER,-,schifosoemerdoso,913,856,0.5161
euw1,GRANDMASTER,-,eškere ty lopato,527,487,0.5197
euw1,GRANDMASTER,-,SAe Relative,302,260,0.5374
euw1,GRANDMASTER,-,Legoši,350,320,0.5224
euw1,GRANDMASTER,-,Raerthus,74,42,0.6379
euw1,GRANDMASTER,-,Tofoufou,148,111,0.5714
euw1,GRANDMASTER,-,DEVN,673,631,0.5161
euw1,GRANDMASTER,-,LngLng,88,58,0.6027
euw1,GRANDMASTER,-,japonee,187,174,0.518
euw1,GRANDMASTER,-,TheGugaJeans,306,262,0.5387
euw1,GRANDMASTER,-,Fleshy1,420,397,0.5141
euw1,GRANDMASTER,-,Owner Z,164,125,0.5675
euw1,GRANDMASTER,-,2021Worlds0019,132,100,0.569
euw1,GRANDMASTER,-,DˉB,288,254,0.5314
euw1,GRANDMASTER,-,WANNADIVE,208,173,0.5459
euw1,GRANDMASTER,-,ReX Thayger,521,468,0.5268
euw1,GRANDMASTER,-,hgotdsxz,139,111,0.556
euw1,GRANDMASTER,-,CT 9904,527,484,0.5213
euw1,GRANDMASTER,-,Stormaxx,275,236,0.5382
euw1,GRANDMASTER,-,Zhìì,553,519,0.5159
euw1,GRANDMASTER,-,clickmaster,237,181,0.567
euw1,GRANDMASTER,-,Hεaιt,252,219,0.535
euw1,GRANDMASTER,-,Bah Rhen ,150,118,0.5597
euw1,GRANDMASTER,-,Akrowz,489,437,0.5281
euw1,GRANDMASTER,-,I like galio,261,207,0.5577
euw1,GRANDMASTER,-,RGE Larssεn,590,548,0.5185
euw1,GRANDMASTER,-,Agent Lakers,117,75,0.6094
euw1,GRANDMASTER,-,markyy3,558,524,0.5157
euw1,GRANDMASTER,-,Quinncidence,494,455,0.5205
euw1,GRANDMASTER,-,0711 DoggyDingus,303,272,0.527
euw1,GRANDMASTER,-,Einard,748,708,0.5137
euw1,GRANDMASTER,-,RekSaiyajin,259,222,0.5385
euw1,GRANDMASTER,-,Aglaro,429,394,0.5213
euw1,GRANDMASTER,-,Ütani Gran Hur,198,174,0.5323
euw1,GRANDMASTER,-,lucky luna,416,395,0.5129
euw1,GRANDMASTER,-,zafccp,787,718,0.5229
euw1,GRANDMASTER,-,huntiandi1,701,664,0.5136
euw1,GRANDMASTER,-,Giyuu zzz,445,398,0.5279
euw1,GRANDMASTER,-,Sacre,300,269,0.5272
euw1,GRANDMASTER,-,IlIlIlIlIllIlIl,358,320,0.528
euw1,GRANDMASTER,-,panties sniƒfer,175,126,0.5814
euw1,GRANDMASTER,-,BIazingFire,170,130,0.5667
euw1,GRANDMASTER,-,Tu po zi wo,251,201,0.5553
euw1,GRANDMASTER,-,gr8erthanscripts,166,131,0.5589
euw1,GRANDMASTER,-,Fulis wannabe,165,118,0.583
euw1,GRANDMASTER,-,Touchy Situation,617,575,0.5176
euw1,GRANDMASTER,-,Suirotas,654,614,0.5158
euw1,GRANDMASTER,-,laozitianye,75,46,0.6198
euw1,GRANDMASTER,-,Let me fling you,597,559,0.5164
euw1,GRANDMASTER,-,HeavenIsFalling,478,447,0.5168
euw1,GRANDMASTER,-,BetterBlameJung,198,151,0.5673
euw1,GRANDMASTER,-,Mood rings,189,133,0.587
euw1,GRANDMASTER,-,FatShield,218,187,0.5383
euw1,GRANDMASTER,-,Tοαst,1077,1031,0.5109
euw1,GRANDMASTER,-,C9 Fudge Factor,119,85,0.5833
